<<<<<<< Updated upstream,,,,
1/6/2015 17:08,1,3,0,4
1/6/2015 17:11,0,4,0,4
1/6/2015 17:48,1,3,0,4
1/6/2015 17:50,0,4,0,4
1/6/2015 18:24,1,3,0,4
1/6/2015 18:28,0,4,0,4
1/6/2015 18:44,0,3,1,4
1/6/2015 18:51,0,4,0,4
1/6/2015 19:09,0,3,1,4
1/6/2015 19:58,0,4,0,4
1/6/2015 20:01,0,3,1,4
1/6/2015 20:02,1,3,0,4
1/6/2015 20:08,2,2,0,4
1/6/2015 20:12,1,3,0,4
1/6/2015 20:33,2,2,0,4
1/6/2015 20:40,1,3,0,4
1/6/2015 20:42,0,4,0,4
1/6/2015 20:49,0,3,1,4
06-16 08:37:54,0,4,0,4
06-16 09:05:21,1,3,0,4
06-16 09:07:24,0,4,0,4
06-16 10:14:30,1,3,0,4
06-16 10:17:33,0,4,0,4
06-16 11:07:32,0,3,1,4
06-16 11:08:33,0,4,0,4
06-16 11:47:09,0,3,1,4
06-16 11:50:12,0,4,0,4
06-16 11:57:19,0,3,1,4
06-16 12:06:28,1,3,0,4
06-16 12:09:32,0,4,0,4
06-16 12:53:14,1,3,0,4
06-16 12:57:18,0,4,0,4
06-16 13:19:41,1,3,0,4
06-16 13:30:51,2,2,0,4
06-16 13:32:52,0,4,0,4
06-16 13:43:01,1,3,0,4
06-16 13:46:04,0,4,0,4
06-16 16:24:34,1,3,0,4
06-16 16:26:35,0,4,0,4
06-16 16:34:42,1,3,0,4
06-16 16:36:43,0,4,0,4
06-16 16:40:47,0,3,1,4
06-16 16:46:53,0,4,0,4
06-16 16:49:56,0,3,1,4
06-16 16:50:57,0,4,0,4
06-16 17:12:15,1,3,0,4
06-16 17:13:16,0,4,0,4
06-16 19:22:13,0,4,0,4
06-16 20:29:15,1,3,0,4
06-16 20:35:20,2,2,0,4
06-16 20:43:28,1,3,0,4
06-16 20:51:36,0,4,0,4
06-16 22:17:52,1,3,0,4
06-16 22:19:55,0,4,0,4
06-16 22:26:01,1,3,0,4
06-16 22:28:03,0,4,0,4
06-16 22:30:06,0,3,1,4
06-16 22:31:06,0,4,0,4
06-16 22:32:08,0,3,1,4
06-16 22:33:09,1,3,0,4
06-16 22:34:10,0,3,1,4
06-16 22:35:11,0,4,0,4
06-16 22:42:18,0,3,1,4
06-16 22:44:20,1,2,1,4
06-16 22:46:22,2,1,1,4
06-16 22:47:23,1,2,1,4
06-16 22:48:24,1,3,0,4
06-16 22:49:26,2,2,0,4
06-16 22:50:27,1,3,0,4
06-16 22:52:29,2,2,0,4
06-16 22:54:31,1,3,0,4
06-16 23:13:49,0,4,0,4
06-16 23:14:50,0,3,1,4
06-16 23:15:51,0,4,0,4
06-17 00:07:46,1,3,0,4
06-17 00:17:58,0,4,0,4
06-17 01:01:41,1,3,0,4
06-17 01:06:46,0,4,0,4
06-17 02:02:41,1,3,0,4
06-17 02:06:45,0,4,0,4
06-17 03:38:15,1,3,0,4
06-17 04:45:19,2,2,0,4
06-17 05:03:36,2,1,1,4
06-17 05:07:40,2,2,0,4
06-17 05:22:54,1,3,0,4
06-17 05:38:12,0,4,0,4
06-17 06:57:29,1,3,0,4
06-17 07:48:18,0,4,0,4
06-19 09:36:04,0,4,0,4
06-19 09:52:01,0,4,0,4
06-19 09:58:08,1,3,0,4
06-19 10:03:15,0,4,0,4
06-19 10:31:45,1,3,0,4
06-19 10:34:47,0,4,0,4
06-19 10:59:15,1,3,0,4
06-19 11:01:17,0,4,0,4
06-19 12:50:08,1,3,0,4
06-19 12:53:11,0,3,1,4
06-19 12:54:13,0,4,0,4
06-19 13:23:44,1,3,0,4
06-19 13:46:08,2,2,0,4
06-19 14:06:30,1,3,0,4
06-19 14:09:33,1,2,1,4
06-19 14:11:35,1,3,0,4
06-19 14:15:40,0,4,0,4
06-19 14:47:14,0,3,1,4
06-19 14:53:20,0,4,0,4
06-19 14:57:25,1,3,0,4
06-19 15:07:36,0,4,0,4
06-19 15:09:39,1,3,0,4
06-19 15:12:43,0,4,0,4
06-19 16:44:28,0,3,1,4
06-19 16:50:34,0,4,0,4
06-19 16:57:42,1,3,0,4
06-19 17:02:47,2,2,0,4
06-19 17:23:11,1,3,0,4
06-19 17:32:19,0,4,0,4
06-19 17:48:37,1,3,0,4
06-19 17:53:43,0,4,0,4
06-19 18:03:55,1,3,0,4
06-19 18:05:58,0,4,0,4
06-19 19:36:39,1,3,0,4
06-19 19:37:40,0,4,0,4
06-19 20:24:32,0,3,1,4
06-19 20:30:39,0,4,0,4
06-19 20:35:44,1,3,0,4
06-19 20:38:47,0,4,0,4
06-19 21:02:14,0,3,1,4
06-19 21:06:18,1,2,1,4
06-19 21:08:20,2,2,0,4
06-19 21:12:25,2,1,1,4
06-19 21:13:26,3,1,0,4
06-19 21:28:42,2,1,1,4
06-19 21:29:43,2,2,0,4
06-19 21:30:44,1,3,0,4
06-19 21:33:46,0,4,0,4
06-19 22:52:14,1,3,0,4
06-19 23:19:43,1,2,1,4
06-19 23:20:44,2,2,0,4
06-19 23:23:47,1,3,0,4
06-19 23:24:48,0,4,0,4
06-19 23:28:52,1,3,0,4
06-19 23:34:59,0,4,0,4
06-20 01:05:34,0,3,1,4
06-20 01:06:35,1,3,0,4
06-20 01:30:01,0,3,1,4
06-20 01:36:09,1,3,0,4
06-20 02:06:43,2,2,0,4
06-20 04:23:13,3,1,0,4
06-20 04:45:37,3,0,1,4
